path,domain,type,state,authority,published,destination,action
docs/manual/explanation/host-pipelines.md,manual,explanation,current,authoritative,yes,docs/manual/explanation/host-pipelines.md,retain
docs/manual/explanation/portable-deployment.md,manual,explanation,current,authoritative,yes,docs/manual/explanation/portable-deployment.md,retain
docs/manual/explanation/symbolic-search.md,manual,explanation,current,authoritative,yes,docs/manual/explanation/symbolic-search.md,retain
docs/manual/explanation/workbench.md,manual,explanation,current,authoritative,yes,docs/manual/explanation/workbench.md,retain
docs/manual/how-to/create-feature-catalog.md,manual,how-to,current,authoritative,yes,docs/manual/how-to/create-feature-catalog.md,retain
docs/manual/how-to/embed-ptmrt.md,manual,how-to,current,authoritative,yes,docs/manual/how-to/embed-ptmrt.md,retain
docs/manual/how-to/export-artifacts.md,manual,how-to,current,authoritative,yes,docs/manual/how-to/export-artifacts.md,retain
docs/manual/how-to/install.md,manual,how-to,current,authoritative,yes,docs/manual/how-to/install.md,retain
docs/manual/how-to/run-bounded-search.md,manual,how-to,current,authoritative,yes,docs/manual/how-to/run-bounded-search.md,retain
docs/manual/how-to/tui.md,manual,how-to,current,authoritative,yes,docs/manual/how-to/tui.md,retain
docs/manual/index.md,manual,landing,current,derived,yes,docs/manual/index.md,retain
docs/manual/reference/artifact-contract.md,manual,reference,current,authoritative,yes,docs/manual/reference/artifact-contract.md,retain
docs/manual/reference/c-api.md,manual,reference,current,authoritative,yes,docs/manual/reference/c-api.md,retain
docs/manual/reference/cli.md,manual,reference,current,derived,yes,docs/manual/reference/cli.md,retain
docs/manual/reference/data-connectors.md,manual,reference,current,authoritative,yes,docs/manual/reference/data-connectors.md,retain
docs/manual/reference/feature-templates.md,manual,reference,current,authoritative,yes,docs/manual/reference/feature-templates.md,retain
docs/manual/reference/help-topics.md,manual,reference,current,derived,yes,docs/manual/reference/help-topics.md,retain
docs/manual/reference/maturity.md,manual,reference,current,derived,yes,docs/manual/reference/maturity.md,retain
docs/manual/reference/native-api.md,manual,reference,current,derived,yes,docs/manual/reference/native-api.md,retain
docs/manual/reference/preprocessing.md,manual,reference,current,authoritative,yes,docs/manual/reference/preprocessing.md,retain
docs/manual/reference/python-api.md,manual,reference,current,derived,yes,docs/manual/reference/python-api.md,retain
docs/manual/reference/search-contracts.md,manual,reference,current,authoritative,yes,docs/manual/reference/search-contracts.md,retain
docs/manual/tutorials/first-native-consumer.md,manual,tutorial,current,authoritative,yes,docs/manual/tutorials/first-native-consumer.md,retain
docs/manual/tutorials/first-python-model.md,manual,tutorial,current,authoritative,yes,docs/manual/tutorials/first-python-model.md,retain
docs/manual/tutorials/first-tui-session.md,manual,tutorial,current,authoritative,yes,docs/manual/tutorials/first-tui-session.md,retain
docs/model-export-runtime.md,manual,landing,current,derived,yes,docs/manual/reference/artifact-contract.md,retain
docs/packed-tm.md,architecture,landing,current,derived,yes,docs/architecture/packed-tm.md,retain
docs/preprocessing-contract.md,manual,landing,current,derived,yes,docs/manual/reference/preprocessing.md,retain
docs/pta-control-plane.md,rfcs,landing,current,derived,yes,docs/rfcs/pta-control-plane.md,retain
docs/references.md,benchmarks,landing,current,derived,yes,docs/benchmarks/references.md,retain
docs/releases/changelog.md,releases,release-notes,current,authoritative,yes,docs/releases/changelog.md,retain
docs/releases/compatibility.md,releases,reference,current,authoritative,yes,docs/releases/compatibility.md,retain
docs/releases/index.md,releases,landing,current,derived,yes,docs/releases/index.md,retain
docs/releases/upgrading.md,releases,how-to,current,authoritative,yes,docs/releases/upgrading.md,retain
docs/rfcs/index.md,rfcs,landing,current,authoritative,yes,docs/rfcs/index.md,retain
docs/rfcs/pta-control-plane.md,rfcs,rfc,proposed,record,yes,docs/rfcs/pta-control-plane.md,retain
docs/rfcs/textual-tui.md,rfcs,rfc,mixed,transitional,yes,docs/rfcs/textual-tui.md,retain
docs/archive/roadmap-disposition.md,archive,record,historical,record,yes,docs/archive/roadmap-disposition.md,retain
docs/semantic-contract.md,architecture,landing,current,derived,yes,docs/architecture/semantic-contract.md,retain
docs/textual-tui-plan.md,rfcs,landing,current,derived,yes,docs/rfcs/textual-tui.md,retain
docs/tui.md,manual,landing,current,derived,yes,docs/manual/how-to/tui.md,retain
prolog/README.md,developer,landing,current,derived,yes,docs/developer/prolog.md,retain
